Symbol,Company Name
532525,Bank of Maharashtra
532296,Glenmark Pharmaceuticals Limited
532505,UCO Bank
543664,Kaynes Technology India Limited
533206,SJVN Limited
542772,360 One Wam Limited
500164,Godrej Industries Limited
500411,Thermax Limited
542216,Dalmia Bharat Limited
500408,Tata Elxsi Limited
539551,Narayana Hrudayalaya Limited
532830,Astral Limited
542602,Embassy Office Parks REIT
500495,Escorts Kubota Limited
543458,AWL Agri Business Limited
500410,ACC Limited
524494,Ipca Laboratories Limited
532889,K.P.R. Mill Limited
504973,Cholamandalam Financial Holdings Limited
500067,Blue Star Limited
542651,KPIT Technologies Limited
523395,3M India Limited
532497,Radico Khaitan Limited
500092,CRISIL Limited
500253,LIC Housing Finance Limited
532885,Central Bank of India
540222,Laurus Labs Limited
532720,Mahindra & Mahindra Financial Services Limited
543654,Global Health Limited
539336,Gujarat Gas Limited
532331,Ajanta Pharma Limited
534091,Multi Commodity Exchange of India Limited
543300,Sona BLW Precision Forgings Limited
539177,Authum Investment & Infrastructure Limited
513683,NLC India Limited
500086,Exide Industries Limited
517174,Honeywell Automation India Limited
500877,Apollo Tyres Limited
517569,KEI Industries Limited
501301,Tata Investment Corporation Limited
524000,Poonawalla Fincorp Limited
535755,Aditya Birla Fashion and Retail Limited
543426,Metro Brands Limited
532683,AIA Engineering Limited
532234,National Aluminium Company Limited
543064,Suven Pharmaceuticals Limited
541179,ICICI Securities Limited
532514,Indraprastha Gas Limited
543635,Piramal Pharma Limited
540769,The New India Assurance Company Limited
500003,Aegis Logistics Limited
500085,Chambal Fertilisers and Chemicals Limited
531162,Emami Limited
532947,IRB Infrastructure Developers Limited
506401,Deepak Nitrite Limited
540173,PNB Housing Finance Limited
544028,Tata Technologies Limited
532642,JSW Holdings Limited
544179,Go Digit General Insurance Limited
544081,Jyoti CNC Automation Limited
541153,Bandhan Bank Limited
543308,Krishna Institute of Medical Sciences Limited
531768,Poly Medicure Limited
540153,Endurance Technologies Limited
540975,Aster DM Healthcare Limited
507815,Gillette India Limited
534309,NBCC (India) Limited
542920,Sumitomo Chemical India Limited
544309,Inventurus Knowledge Solutions Limited
539268,Syngene International Limited
543498,Motherson Sumi Wiring India Limited
532929,Brigade Enterprises Limited
523610,ITI Limited
543299,Shyam Metalics and Energy Limited
532733,Sun TV Network Limited
506943,J. B. Chemicals & Pharmaceuticals Limited
543217,Mindspace Business Parks REIT
500109,Mangalore Refinery and Petrochemicals Limited
543245,Gland Pharma Limited
532259,APAR Industries Limited
533581,PG Electroplast Limited
532809,Firstsource Solutions Limited
532504,Navin Fluorine International Limited
533023,ZF Commercial Vehicle Control Systems India Limited
539524,Dr. Lal PathLabs Limited
543529,Delhivery Limited
500840,EIH Limited
500302,Piramal Enterprises Limited
539083,Inox Wind Limited
500260,The Ramco Cements Limited
542752,Affle 3i Limited
542011,Garden Reach Shipbuilders & Engineers Limited
543412,Star Health and Allied Insurance Company Limited
500084,CESC Limited
500184,Himadri Speciality Chemical Limited
544225,Ola Electric Mobility Limited
543235,Angel One Limited
539876,Crompton Greaves Consumer Electricals Limited
500770,Tata Chemicals Limited
543330,Devyani International Limited
543988,Nuvama Wealth Management Limited
500040,Aditya Birla Real Estate Limited
532300,Wockhardt Limited
513599,Hindustan Copper Limited
506285,Bayer CropScience Limited
506820,AstraZeneca Pharma India Limited
540902,Amber Enterprises India Limited
533295,Punjab & Sind Bank
500165,Kansai Nerolac Paints Limited
540596,Eris Lifesciences Limited
544176,Aadhar Housing Finance Limited
500027,Atul Ltd
543663,Five-Star Business Finance Limited
500870,Castrol India Limited
532144,Welspun Corp Limited
522113,Timken India Limited
531531,Hatsun Agro Product Limited
543913,Nexus Select Trust
500680,Pfizer Limited
531213,Manappuram Finance Limited
500403,Sundram Fasteners Limited
532805,Redington Limited
544210,Emcure Pharmaceuticals Limited
513375,Carborundum Universal Limited
500472,SKF India Limited
544282,Sagility India Limited
543463,Vedant Fashions Limited
539006,PTC Industries Limited
543374,Aditya Birla Sun Life AMC Limited
544292,OneSource Specialty Pharma Limited
500042,BASF India Limited
543232,Computer Age Management Services Limited
543720,KFin Technologies Limited
532714,KEC International Limited
541770,CreditAccess Grameen Limited
532702,Gujarat State Petronet Limited
520056,TVS Holdings Limited
520111,Ratnamani Metals & Tubes Limited
506076,Grindwell Norton Limited
542399,Chalet Hotels Limited
515030,Asahi India Glass Limited
500008,Amara Raja Energy & Mobility Limited
533573,Alembic Pharmaceuticals Limited
544321,Ventive Hospitality Limited
543261,Brookfield India Real Estate Trust
543653,Bikaji Foods International Limited
540750,Indian Energy Exchange Limited
544226,Brainbees Solutions Limited
590003,The Karur Vysya Bank Limited
524200,Vinati Organics Limited
500252,LMW Limited
544045,DOMS Industries Limited
533655,Triveni Turbine Limited
522287,Kalpataru Projects International Limited
532953,V-Guard Industries Limited
532605,JBM Auto Limited
532939,Reliance Power Limited
524208,Aarti Industries Limited
500645,Deepak Fertilisers And Petrochemicals Corporation Limited
543335,Aptus Value Housing Finance India Limited
504067,Zensar Technologies Limited
500710,Akzo Nobel India Limited
543990,Signatureglobal (India) Limited
524558,Neuland Laboratories Limited
523367,DCM Shriram Limited
515055,Anant Raj Limited
544286,Niva Bupa Health Insurance Company Limited
504614,Sarda Energy & Minerals Limited
532548,Century Plyboards (India) Limited
500238,Whirlpool of India Limited
532756,CIE Automotive India Limited
500043,Bata India Limited
526612,Blue Dart Express Limited
524816,NATCO Pharma Limited
544280,Afcons Infrastructure Limited
532636,IIFL Finance Limited
532928,Transformers and Rectifiers (India) Limited
540680,KIOCL Limited
533272,Jupiter Wagons Limited
543960,Concord Biotech Limited
500378,Jindal Saw Limited
544306,Sai Life Sciences Limited
541956,Ircon International Limited
544311,International Gemmological Institute (India) Limited
500125,E.I.D.- Parry (India) Limited
540900,Newgen Software Technologies Limited
540073,BLS International Services Limited
543415,Anand Rathi Wealth Limited
522074,Elgi Equipments Limited
524742,Caplin Point Laboratories Limited
530019,Jubilant Pharmova Limited
541988,Aavas Financiers Limited
500241,Kirloskar Brothers Limited
532762,Action Construction Equipment Limited
533282,Gravita India Limited
534139,Schneider Electric Infrastructure Limited
531595,Capri Global Capital Limited
500144,Finolex Cables Limited
506590,PCBL Chemical Limited
500878,CEAT Limited
532926,Jyothy Labs Limited
500294,NCC Limited
539957,Mahanagar Gas Limited
517271,HBL Engineering Limited
521064,Trident Limited
543524,Rainbow Children's Medicare Limited
532210,City Union Bank Limited
500674,Sanofi India Limited
542726,IndiaMART InterMESH Limited
500048,BEML Limited
502986,Vardhman Textiles Limited
544283,ACME Solar Holdings Limited
500033,Force Motors Limited
532175,Cyient Limited
532784,Sobha Limited
544172,Indegene Limited
543322,Alivus Life Sciences Limited
543981,R R Kabel Limited
500620,The Great Eastern Shipping Company Limited
543238,UTI Asset Management Company Limited
501425,"The Bombay Burmah Trading Corporation, Limited"
503310,Swan Energy Limited
500233,Kajaria Ceramics Limited
500266,Maharashtra Scooters Ltd.
513023,Nava Limited
505700,Elecon Engineering Company Limited
544009,Blue Jet Healthcare Limited
540743,Godrej Agrovet Limited
543428,Data Patterns (India) Limited
543318,Clean Science and Technology Limited
500249,KSB Limited
542141,Techno Electric & Engineering Company Limited
544012,Cello World Limited
531358,Choice International Limited
533339,Zen Technologies Limited
540595,Tejas Networks Limited
541557,Fine Organic Industries Limited
540065,RBL Bank Limited
500405,Supreme Petrochem Limited
543334,Nuvoco Vistas Corporation Limited
540565,Indigrid Infrastructure Trust
